VendorNumber,VendorName,Brand,Purchaseprice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreighhtCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,4264,11.53,750.0,16.99,3834.0,44206.02000000014,366.0,6058.339999999973,3438.9299999999826,288.31999999999994,257032.07000000007,-38147.68000000017,-86.29521499560478,0.09546165884194054,0.13704785004395223
8004,SAZERAC CO INC,5101,10.39,750.0,13.99,4240.0,44053.60000000009,326.0,4534.739999999977,2946.879999999987,256.85999999999945,50293.62000000002,-39518.86000000012,-89.70631231045824,0.07688679245283019,0.10293687689541757
9165,ULTRA BEVERAGE COMPANY LLP,41213,12.07,750.0,19.99,3571.0,43101.96999999985,119.0,2366.8099999999995,1233.3800000000003,13.239999999999995,68054.70000000003,-40735.15999999985,-94.50881247423261,0.033323998879865584,0.05491187525767402
1128,BROWN-FORMAN CORP,5297,10.76,750.0,13.99,3997.0,43007.72000000006,225.0,3549.749999999989,2550.379999999994,177.31999999999985,68601.68000000001,-39457.970000000074,-91.74624927803664,0.05629221916437328,0.08253750721963368
9552,M S WALKER INC,3769,7.02,1750.0,9.49,6122.0,42976.44000000024,1179.0,10599.209999999943,3533.0699999999656,2166.0300000000007,55551.819999999985,-32377.2300000003,-75.33716147731204,0.1925841228356746,0.24662838522687971
3960,DIAGEO NORTH AMERICA INC,3488,15.62,750.0,23.99,2739.0,42783.18000000006,364.0,7944.359999999966,4959.729999999971,286.75999999999976,257032.07000000007,-34838.820000000094,-81.43111381622414,0.13289521723256664,0.18568886183775857
10000,MAJESTIC FINE WINES,24325,10.88,750.0,15.99,3931.0,42769.279999999984,214.0,3955.859999999994,1695.0900000000006,23.869999999999965,17587.59,-38813.41999999999,-90.75069769703863,0.05443907402696515,0.09249302302961368
660,SAZERAC NORTH AMERICA INC.,3684,7.68,1750.0,9.99,5549.0,42616.32000000038,1242.0,12407.579999999933,3736.2599999999647,2281.8400000000006,17932.329999999994,-30208.740000000445,-70.88537912236481,0.22382411245269418,0.29114620877635194
17035,PERNOD RICARD USA,5735,9.29,750.0,11.99,4541.0,42185.89000000007,602.0,7819.979999999966,3195.539999999982,474.14000000000163,123780.21999999997,-34365.910000000105,-81.46304368593397,0.13256991852014974,0.18536956314066036
8004,SAZERAC CO INC,3246,6.71,1750.0,8.79,6282.0,42152.219999999914,1336.0,11743.440000000048,3313.829999999989,2454.5300000000075,50293.62000000002,-30408.779999999868,-72.14039972271907,0.21267112384590894,0.2785960027728094
1128,BROWN-FORMAN CORP,1220,21.89,750.0,29.99,1916.0,41941.23999999984,193.0,6623.06999999998,4813.599999999983,152.10000000000002,68601.68000000001,-35318.16999999986,-84.20869292371898,0.10073068893528184,0.1579130707628102
4425,MARTIGNETTI COMPANIES,23739,7.25,750.0,12.99,5763.0,41781.75,187.0,2592.1299999999974,1306.0600000000006,20.82999999999999,144929.24,-39189.62,-93.79602338341502,0.032448377581120944,0.06203976616584986
480,BACARDI USA INC,4243,14.49,1750.0,19.99,2864.0,41499.360000000015,634.0,14497.659999999953,5885.479999999965,1164.8599999999994,89286.26999999999,-27001.700000000063,-65.06534076670111,0.22136871508379888,0.3493465923329889
